tx_id,date,sender_address,receiver_address,moniker,token,amount,fee_token,fee_amount,test
36327F0061B512C78D53CE03BB8730D9BDA2DEB5627C0E5A27750448AE397D00,2022-12-31 02:11:01 -0500 EST,terra1ju9cgpl78qszngdkvrpjht00f7wf6hql6l9v8q,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy," polkachu.com",uluna,10006,uluna,2063,true
36327F0061B512C78D53CE03BB8730D9BDA2DEB5627C0E5A27750448AE397D00,2022-12-31 02:11:01 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1rr2g4z2ch4cqwl8s70yj94a5l2vakg0v36nmjh," polkachu.com",uluna,95,uluna,9911,true
49BA0FDB7131F32AF9444F1A48449EE2FE8EA2F5DEA4962D68AC9E12DD04F3FF,2022-12-31 02:10:44 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1u8lglu36g5x6shp2xyd35hcs45x9cvmj6tmvd8,Enigma,uluna,7604,uluna,2402,true
49BA0FDB7131F32AF9444F1A48449EE2FE8EA2F5DEA4962D68AC9E12DD04F3FF,2022-12-31 02:10:44 -0500 EST,terra1ju9cgpl78qszngdkvrpjht00f7wf6hql6l9v8q,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,Enigma,uluna,10006,uluna,2081,true
6309EBD63660F6C62AA3596DEFE3B6DDD17C584D51A2420D97C657897EC2D612,2022-12-31 02:10:38 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1yy5379nk24xffpq4egw7ue4ad3j7l79ma2enmz," AutoStake 🛡️ Slash Protected",uluna,95,uluna,9914,true
6309EBD63660F6C62AA3596DEFE3B6DDD17C584D51A2420D97C657897EC2D612,2022-12-31 02:10:38 -0500 EST,terra1ju9cgpl78qszngdkvrpjht00f7wf6hql6l9v8q,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy," AutoStake 🛡️ Slash Protected",uluna,10009,uluna,2078,true
A7593671692CBDCF0D4E1BBD93EF20773B30C2FFD80FFC14210DF229F0245F59,2022-12-31 02:09:56 -0500 EST,terra1ju9cgpl78qszngdkvrpjht00f7wf6hql6l9v8q,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,Synergy Nodes,uluna,10007,uluna,2083,true
A7593671692CBDCF0D4E1BBD93EF20773B30C2FFD80FFC14210DF229F0245F59,2022-12-31 02:09:56 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1tm0xkark2ufecmdhgaaw7gqsycyt4qag6py8x6,Synergy Nodes,uluna,95,uluna,9912,true
8BD8FB1C33EE623395791281B197712865A61EFCCA8AD9CA814577035F1E4870,2022-12-31 02:09:51 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1wwq9mfkkqfta334d4hcjrjau9y50a4hw37zhdl,StakeWithUs,uluna,95,uluna,9912,true
8BD8FB1C33EE623395791281B197712865A61EFCCA8AD9CA814577035F1E4870,2022-12-31 02:09:51 -0500 EST,terra1ju9cgpl78qszngdkvrpjht00f7wf6hql6l9v8q,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,StakeWithUs,uluna,10007,uluna,2043,true
